年月日,降水量の合計(mm),最高気温(℃),最低気温(℃),平均気温(℃)
2009/1/1,0,15,12.4,13.6
2009/1/2,1,17.6,11.9,14.8
2009/1/3,0,19.2,15.5,17.1
2009/1/4,0,19.4,17.1,18.1
2009/1/5,0,20.5,14.4,18.3
2009/1/6,0,21.6,17.9,19.1
2009/1/7,0.5,21.1,18.1,19.4
2009/1/8,23.5,20.2,16,17.9
2009/1/9,0,17.1,12.5,15
2009/1/10,0,13,9.8,11.4
2009/1/11,0,17.7,11.6,13.9
2009/1/12,0,16.1,11.4,13.4
2009/1/13,0.5,13.6,10.5,11.9
2009/1/14,0,15.6,10.5,12.9
2009/1/15,0.5,16.2,9.6,13.3
2009/1/16,0,18.6,6.6,12.3
2009/1/17,0,20.2,6.8,14.8
2009/1/18,0,22.4,13,18.7
2009/1/19,0,21.6,15.6,19
2009/1/20,0,21.9,18.4,19.8
2009/1/21,8,20.2,16.8,19
2009/1/22,1.5,23.6,15.2,19.3
2009/1/23,1,19.8,11.3,16
2009/1/24,0,12.5,10.1,10.9
2009/1/25,0,14.8,8.7,11.8
2009/1/26,0,18.2,8.4,13.9
2009/1/27,0,21.1,16.2,18.4
2009/1/28,0,23.1,19.2,20.7
2009/1/29,2,24,18.6,21
2009/1/30,13.5,23.3,16.9,19.2
2009/1/31,0,20.1,17,18.3
2009/2/1,0,20.7,16.8,18.2
2009/2/2,0,22.1,16.3,18.7
2009/2/3,0,23.5,14.3,19.1
2009/2/4,0,22.8,16,19.8
2009/2/5,0,23.2,15.8,19.5
2009/2/6,0,22.6,18.9,20
2009/2/7,0,22.1,16.8,19.3
2009/2/8,0,21.2,16,18.1
2009/2/9,0,23.4,15.5,18.8
2009/2/10,0,19.2,11.1,16
2009/2/11,0,20.9,9.3,14.7
2009/2/12,0,23.4,11.2,19.7
2009/2/13,0,25.5,20.6,22.7
2009/2/14,1,25.6,20.6,22.3
2009/2/15,0,23.3,19.8,21.4
2009/2/16,0.5,21,16.6,18.7
2009/2/17,0.5,17.5,14.4,16.2
2009/2/18,0,20.8,16.3,18.3
2009/2/19,0,24.6,18.7,21.5
2009/2/20,18.5,23,14.9,17.8
2009/2/21,0,19.6,14.7,17
2009/2/22,0,24.6,18.7,21.8
2009/2/23,3,24.2,22.2,23.1
2009/2/24,0,27,22.7,24
2009/2/25,0,26.8,20.9,23.6
2009/2/26,0,25.4,19.8,22.6
2009/2/27,2,25.2,19.6,22
2009/2/28,1.5,22.7,18,19.8
2009/3/1,0.5,20.8,17.4,19.2
2009/3/2,1.5,22.2,18.8,20.1
2009/3/3,15.5,22,17,19.9
2009/3/4,1,22,17,18.9
2009/3/5,48,23.7,18.9,21.8
2009/3/6,39,23.8,14.8,18
2009/3/7,10,17.7,15.1,16.1
2009/3/8,2,21.4,16.7,19.1
2009/3/9,31,20.8,17.1,18.6
2009/3/10,0,21.8,17.4,18.8
2009/3/11,0,22.7,13.9,19.2
2009/3/12,0,23.6,19.1,21
2009/3/13,4,25.9,15.8,21.6
2009/3/14,2.5,15.9,12,13.7
2009/3/15,0,19.5,10.3,14.8
2009/3/16,0,21.4,9.3,15.6
2009/3/17,0,23,13.1,19.4
2009/3/18,0,25,19.9,22
2009/3/19,0,25.5,21.6,23.1
2009/3/20,6,24.8,21.2,22.5
2009/3/21,0,24.7,21.6,22.8
2009/3/22,12.5,26.5,19.6,23.1
2009/3/23,0,21.3,18.5,19.5
2009/3/24,14.5,19.8,15.9,18.1
2009/3/25,2,21.3,15.8,18.6
2009/3/26,0,19.6,12.9,16.7
2009/3/27,0,21.7,16.3,19
2009/3/28,38,23.3,19.9,21.4
2009/3/29,7,21.7,18.4,20.3
2009/3/30,0.5,23.8,17.9,20.6
2009/3/31,4.5,22.3,19,20.4
2009/4/1,0,19.8,14.8,17.7
2009/4/2,0,19.8,13.9,16.6
2009/4/3,0,22.6,16.8,19.3
2009/4/4,0,25.1,16.1,21
