年月日,降水量の合計(mm),最高気温(℃),最低気温(℃),平均気温(℃)
2009/1/1,0.5,8,4.1,5.8
2009/1/2,0,8.8,5.2,6.7
2009/1/3,0,9.2,4.1,6.7
2009/1/4,0,11.2,3.5,7.1
2009/1/5,0,12.5,5.2,8.7
2009/1/6,0,10,4.3,7.7
2009/1/7,0,8.2,2.5,5.8
2009/1/8,0.5,11,2.3,6.9
2009/1/9,5,11.1,6.3,8.1
2009/1/10,6,7.3,1.1,4.6
2009/1/11,0,6.6,1.2,4.4
2009/1/12,0,6.4,1.2,4.3
2009/1/13,0,6.4,2.9,4.7
2009/1/14,1,9.5,0.6,4.5
2009/1/15,0,7.1,1.4,4.3
2009/1/16,0,9.3,-0.5,4.9
2009/1/17,0,11.1,1.1,5.9
2009/1/18,6,13.8,2.4,7.5
2009/1/19,0.5,11.9,5.5,9.7
2009/1/20,0,10.4,2.9,6
2009/1/21,8.5,6.8,2.4,4.7
2009/1/22,28,8.2,4.9,6.3
2009/1/23,3.5,13.1,4.8,9.1
2009/1/24,0,5,-0.2,2.8
2009/1/25,0,8.4,-1.3,3
2009/1/26,0,8.3,-0.1,4.5
2009/1/27,0,9.3,2.5,5.9
2009/1/28,0,13.1,1.2,6.6
2009/1/29,0,14.5,3.4,9.5
2009/1/30,40.5,14,9.3,11.8
2009/1/31,3.5,13,6.4,9.8
2009/2/1,0,8,4.5,6.1
2009/2/2,0,9.7,2.3,5.6
2009/2/3,7.5,9,1.7,5.3
2009/2/4,0,11,4.8,7.4
2009/2/5,0,12.1,3.1,7.8
2009/2/6,0,10.5,4.4,7.9
2009/2/7,0,11.8,0.7,6.1
2009/2/8,0,10.7,3.4,6.9
2009/2/9,5,13.3,0,5.7
2009/2/10,0,12.4,4.7,7.6
2009/2/11,0,13.6,1.8,8.1
2009/2/12,0,15,6,10
2009/2/13,0.5,19.7,7.9,16.2
2009/2/14,4.5,19.5,10.6,16.1
2009/2/15,0,17,6.5,12
2009/2/16,0,12.4,2.8,7.7
2009/2/17,0,6.9,1.6,3.8
2009/2/18,0,9.7,0,5.3
2009/2/19,4,8.8,3.6,6.4
2009/2/20,16.5,12.3,5,8.5
2009/2/21,0.5,8.3,2.6,5.5
2009/2/22,11,14.8,1.8,7.6
2009/2/23,13.5,15.8,7.6,10.2
2009/2/24,0,12.3,6.5,9.2
2009/2/25,12.5,12.9,9.5,10.7
2009/2/26,0,13.3,7.2,10.1
2009/2/27,6.5,9,5.8,7.2
2009/2/28,0,12.2,5.5,8.9
2009/3/1,1,13.9,7.2,10
2009/3/2,0,9.2,4,6.6
2009/3/3,6,6.2,3.6,4.5
2009/3/4,0,10.9,4.9,7.6
2009/3/5,0,13.2,3.2,8.9
2009/3/6,27,13.9,9.1,11.4
2009/3/7,0,11.2,7.7,9
2009/3/8,0,12.9,6.1,9.4
2009/3/9,9,13.5,7.4,9.8
2009/3/10,0,15.4,6.6,10.5
2009/3/11,0,11.4,4.8,7.8
2009/3/12,0,11.9,2.9,7.8
2009/3/13,7.5,17.4,6.9,11.9
2009/3/14,49,17.5,4.6,8.4
2009/3/15,0,12.7,2.1,7.4
2009/3/16,0,15.5,3.5,9.8
2009/3/17,0,19.9,6.7,13.4
2009/3/18,0,22.1,8.1,15.5
2009/3/19,8.5,22.6,13.8,18.5
2009/3/20,5,17.8,6.7,13.3
2009/3/21,0,18,5.1,11.7
