年月日,降水量の合計(mm),最低気温(℃),最高気温(℃),平均気温(℃)
2009/1/1,9,6,10.6,8.5
2009/1/2,0,6.9,12.4,10
2009/1/3,0,7.6,13.5,10.5
2009/1/4,0,9.5,14.3,12.4
2009/1/5,8.5,12.1,14.1,13
2009/1/6,0,10.5,15.6,12.5
2009/1/7,0.5,9.1,16.4,12.9
2009/1/8,6.5,11.2,13.1,11.8
2009/1/9,33,7.7,13.1,10.7
2009/1/10,30,4.4,9.8,8.1
2009/1/11,1.5,7.7,10.7,9.4
2009/1/12,30,5.1,12,8.4
2009/1/13,30.5,4.8,9.4,7.3
2009/1/14,15.5,6.6,12.7,8.9
2009/1/15,3.5,6.2,10.4,7.9
2009/1/16,0,6.6,14.5,9.7
2009/1/17,0,6.3,16,11.5
2009/1/18,2.5,11.2,19.4,16.1
2009/1/19,0.5,7.9,16.6,13.2
2009/1/20,0,7.8,16.3,12
2009/1/21,0,8.3,17,14
2009/1/22,11.5,13.4,18.2,15.5
2009/1/23,2.5,6.8,14.8,11.6
2009/1/24,26,3.4,8.2,5.6
2009/1/25,6,4.8,11.7,7.6
2009/1/26,0,6.1,13.2,9.5
2009/1/27,5.5,8.5,12.4,10.2
2009/1/28,12,10.6,17.3,14.3
2009/1/29,117.5,15,20.9,18.3
2009/1/30,20.5,14.7,21.7,17.2
2009/1/31,8.5,10.6,17,14.4
2009/2/1,0,7.5,15.7,11.4
2009/2/2,0,7.5,18.1,13
2009/2/3,4,14.3,21,16.7
2009/2/4,0,12,18.3,14.6
2009/2/5,0,11.8,19.1,15.3
2009/2/6,0,10.7,17.3,14.3
2009/2/7,0,11,17.9,14.5
2009/2/8,0,9.8,17.3,14
2009/2/9,5.5,10.7,18.7,15.1
2009/2/10,0,10.8,15.6,13
2009/2/11,0,10.7,17.9,14.5
2009/2/12,0,9.4,19.6,15.6
2009/2/13,27,17.5,20.6,19.2
2009/2/14,11.5,15.2,20.8,18.8
2009/2/15,0,14.1,19.9,16.7
2009/2/16,0,9.7,15.8,12.2
2009/2/17,0,6.4,11.7,8.7
2009/2/18,0,6.8,14,10.9
2009/2/19,52,7.4,19.6,14
2009/2/20,14,10.5,20.7,14.7
2009/2/21,0,7.9,13.9,10.8
2009/2/22,5.5,10.9,20,16.9
2009/2/23,8,16.2,20.9,18.1
2009/2/24,8.5,15.3,20.7,18.6
2009/2/25,49,16.9,25.6,20.3
2009/2/26,8.5,14.5,17.1,15.7
2009/2/27,23.5,13.1,16.9,15.1
2009/2/28,3.5,13.4,16.9,14.7
2009/3/1,5,11,17.7,14.1
2009/3/2,3,11.1,17.6,14.1
2009/3/3,23.5,11.9,20.7,14.6
2009/3/4,3.5,11.9,14.9,12.8
2009/3/5,41,11.5,18.3,15.1
2009/3/6,13,12.2,20.2,15.3
2009/3/7,0,11.1,14.9,13.2
2009/3/8,3.5,12.8,15.9,14.6
2009/3/9,98,11.8,16,14.2
2009/3/10,0,11.2,18.7,14.7
2009/3/11,0,10.5,18,14.9
2009/3/12,0,9.9,19.1,15.8
2009/3/13,39,13.4,19.9,17.4
2009/3/14,8.5,7.6,13.6,10.3
2009/3/15,0,7.8,16,11.6
2009/3/16,0,7.9,20.4,13.8
2009/3/17,0,10.4,21.6,15.9
2009/3/18,0,12.3,22.1,18.5
2009/3/19,35.5,17.2,20.7,19.2
2009/3/20,25.5,16,24.1,20
2009/3/21,0,16.7,20.5,18.9
2009/3/22,68.5,16.2,23.5,19.4
2009/3/23,0,15.2,19.7,16.8
2009/3/24,1.5,12.2,16.6,14.7
2009/3/25,0,10.3,17.5,13.2
2009/3/26,0,9.2,15.4,12
2009/3/27,0,10.7,17.1,13.9
2009/3/28,13,9.8,14.2,12.5
2009/3/29,22.5,10.7,14.8,12.9
2009/3/30,17,10.7,16.1,14.1
2009/3/31,40.5,12.8,17.3,14.7
2009/4/1,0,10.8,14.7,13
2009/4/2,0,9.6,15.6,12.2
2009/4/3,0,9,18.5,14.4
2009/4/4,0,16.7,21.4,18.7
2009/4/5,14.5,12.5,17.2,14.3
2009/4/6,0,13.5,20.8,16.6
2009/4/7,0,14.1,21.6,17.1
2009/4/8,0,14.4,22.8,17.9
2009/4/9,0,13.4,23.5,18.7
2009/4/10,0,13.9,23.3,19.2
2009/4/11,0,15.5,24.5,20
2009/4/12,0,15.1,23.9,19
2009/4/13,3.5,15.3,24,19.3
2009/4/14,116,17.7,24.1,20.3
2009/4/15,0,13.4,22.2,18.5
2009/4/16,0,13.5,23.6,18.7
2009/4/17,0,16.3,22.2,19.4
2009/4/18,0,16.7,24.3,19.9
2009/4/19,0,15.5,24.8,20.1
2009/4/20,63,19.4,21.4,20.5
2009/4/21,1.5,17.6,22.4,19.5
2009/4/22,0,16.4,21.2,18.3
2009/4/23,0,16.1,21.9,18.5
2009/4/24,17.5,16.5,23,19.6
2009/4/25,184.5,14.7,22.6,19.3
2009/4/26,0,13.7,17.9,15.4
2009/4/27,0,14.1,19.4,15.8
2009/4/28,0,13,20.8,17
2009/4/29,0,12.7,21.8,17.3
2009/4/30,0,11.3,22.9,17
2009/5/1,0,13.3,23,19.1
2009/5/2,0,15.3,23.1,19.5
2009/5/3,0,18.8,23.7,20.8
2009/5/4,2,15.8,21.5,18.7
2009/5/5,0,15.8,24,20.2
2009/5/6,0,16.4,24.4,20.3
2009/5/7,0,14.8,25.6,20.5
2009/5/8,0,19.5,27.1,22.7
2009/5/9,0,16.3,25,21.1
2009/5/10,0,15,25,20.2
2009/5/11,0,16,25.8,21
2009/5/12,0,17.9,26.9,22.5
2009/5/13,0,19.8,26,22.2
2009/5/14,0,18,25.6,21.6
2009/5/15,0,17.7,25.7,22
2009/5/16,0,20.1,26.2,23
2009/5/17,3,18.5,31.9,23.5
2009/5/18,0,18,23.2,20
2009/5/19,7.5,15.2,23.7,18.8
2009/5/20,0,14.4,25.7,20.6
2009/5/21,37.5,21.4,24.9,23
2009/5/22,0,18.9,24.3,21.8
2009/5/23,0,17.7,24.2,21.1
2009/5/24,7.5,19.3,24.7,21.3
2009/5/25,0,16.6,24.4,20.6
2009/5/26,0,16.5,23.8,20.6
2009/5/27,17,16.6,20.3,18.7
2009/5/28,35.5,16.9,24.4,20.6
2009/5/29,0,19.8,24.9,22.1
2009/5/30,0,19.8,25.5,22.3
2009/5/31,0,19.3,25.5,22.1
2009/6/1,0,17.1,28.5,22.5
2009/6/2,0,15.8,25.8,21.8
2009/6/3,28,19.7,24.1,21.9
2009/6/4,0,20.7,25,22.5
2009/6/5,0,19.7,25.2,22.1
2009/6/6,1,19.3,25.7,22.6
2009/6/7,0,17.4,26.2,22
2009/6/8,0,19,25.7,22.6
2009/6/9,0,21,27.3,23.9
2009/6/10,4.5,22.2,25.1,23.7
2009/6/11,5.5,17.9,22.8,20.5
2009/6/12,0.5,17.9,25.3,21.6
2009/6/13,3,17.6,22.9,19.8
2009/6/14,0,17.6,25.7,21.8
2009/6/15,0,19,27.5,22.8
2009/6/16,0,18.8,27.7,23.2
2009/6/17,1.5,18.6,27,22.9
