年月日,降水量の合計(mm),最高気温(℃),最低気温(℃),平均気温(℃)
2009/1/1,0,6.4,-1.2,2.3
2009/1/2,0,8.9,-2.1,3.7
2009/1/3,0,8.9,2.7,6.1
2009/1/4,0,11.7,-0.8,5.8
2009/1/5,0,12.4,0.8,6.7
2009/1/6,0,12.2,2.9,7
2009/1/7,0,10.7,-0.4,5.3
2009/1/8,0,12.5,-0.1,6.5
2009/1/9,4.5,7.2,4.6,5.7
2009/1/10,0,7.5,0.2,4.4
2009/1/11,0,5.8,-1.5,1.6
2009/1/12,1,6.4,-1.3,2
2009/1/13,4.5,4.9,-1.1,1.6
2009/1/14,0,7,-2.9,2.2
2009/1/15,0,5.5,0.3,2.2
2009/1/16,0,8.4,-1.4,3.4
2009/1/17,0,9.6,0.3,4.6
2009/1/18,11.5,7.9,-0.5,3.8
2009/1/19,3,9,3.8,6
2009/1/20,0,8.7,1.1,4.7
2009/1/21,5,9.5,-0.1,4.4
2009/1/22,7.5,10.2,3.5,6.9
2009/1/23,3.5,15,6.1,9.5
2009/1/24,0,6.1,-1.6,2.3
2009/1/25,0,7.6,-2.4,2
2009/1/26,0,8.4,-1.6,3.6
2009/1/27,0,10.1,-0.4,4.6
2009/1/28,0,13.2,-0.7,5.8
2009/1/29,0,15.1,1.6,8.7
2009/1/30,27,15.2,8.7,11.4
2009/1/31,30.5,15.2,8.6,11.6
2009/2/1,0,9.8,3.2,6.8
2009/2/2,0,11.1,0.9,5.7
2009/2/3,0,11.3,1,6
2009/2/4,0,13,1.1,6.4
2009/2/5,0,13.4,1.3,7.4
2009/2/6,0,11,3.7,7
2009/2/7,0,11.8,-0.9,6.1
2009/2/8,0,11.1,1.4,6.8
2009/2/9,0,11.8,-0.2,6
2009/2/10,0,13.9,2.7,7.9
2009/2/11,9.5,12.1,0.7,5.7
2009/2/12,0,13.1,1.9,7.3
2009/2/13,2.5,11.9,4,8.3
2009/2/14,15,18.3,8.3,12.5
2009/2/15,0,18.3,3.3,11.1
2009/2/16,0,10.7,1.6,6.5
2009/2/17,0,7,-0.6,2.8
2009/2/18,0,7.4,-1,3
2009/2/19,2,9.7,1.6,5
2009/2/20,30.5,14.3,2,6.1
2009/2/21,0.5,8.4,0.7,4.3
2009/2/22,2.5,10.7,-1.2,5.2
2009/2/23,14,16.4,5.8,9.4
2009/2/24,7,8.7,5.6,7.5
2009/2/25,23,14,7.8,9.9
2009/2/26,0,13.9,4.9,9.1
2009/2/27,0,9.8,6.1,7.9
2009/2/28,0,15.4,3.2,9.7
2009/3/1,0,15.6,6.8,10.3
2009/3/2,0,11.2,4,7
2009/3/3,7.5,6.3,3.1,4.5
2009/3/4,0,13.1,4.5,8.2
2009/3/5,0.5,14.4,1.7,8.7
2009/3/6,59,15,7.2,10.2
2009/3/7,0,12.4,6.6,9
2009/3/8,0,14.5,5,9
2009/3/9,0.5,13.5,5.1,9.5
2009/3/10,0,16.5,6.2,10.7
2009/3/11,0,11.3,3.6,6.6
2009/3/12,0,13.3,1.5,7.2
2009/3/13,43,12.8,4.4,7.1
2009/3/14,27.5,13.9,2.9,8
2009/3/15,0,12.9,1.7,7.3
2009/3/16,0,15.8,1.8,9.3
