年月日,降水量の合計(mm),最高気温(℃),最低気温(℃),平均気温(℃)
2009/1/1,0,7.4,2.8,4.9
2009/1/2,0,9.8,2.1,5.5
2009/1/3,0,12.1,1.1,5.6
2009/1/4,0,12.7,1.9,6.9
2009/1/5,0,13.2,5.8,9
2009/1/6,0,12.2,3.3,6.9
2009/1/7,0,10.2,3.9,7.2
2009/1/8,0,11.7,2.6,7.1
2009/1/9,2.5,10.2,4.4,6.9
2009/1/10,0,7,2.2,4.5
2009/1/11,0.5,6.8,2.8,4.5
2009/1/12,0,7.3,1.6,4.6
2009/1/13,0,7,1.7,3.7
2009/1/14,0,7.4,1.5,4.3
2009/1/15,0,7.6,-0.1,3
2009/1/16,0,8.5,0,4.7
2009/1/17,0,10.6,2.7,6.3
2009/1/18,14.5,13.5,3.3,9
2009/1/19,0,12.3,5.5,9.5
2009/1/20,0,11.8,3.1,6.9
2009/1/21,8,8.8,4.1,6.2
2009/1/22,14.5,8,5,6.8
2009/1/23,0,10.4,3,7.1
2009/1/24,0,4.3,0.3,1.7
2009/1/25,1.5,5.6,0.7,2.6
2009/1/26,1.5,6,2.6,4.2
2009/1/27,0,10.2,1.4,5.2
2009/1/28,0,13.8,1.1,6.8
2009/1/29,15.5,13.6,3.5,8.6
2009/1/30,1,13.5,9.4,11
2009/1/31,5.5,11.8,6.3,9.2
2009/2/1,0,10.9,2.3,6.4
2009/2/2,0,11.7,1.1,5.9
2009/2/3,19,8.1,4.2,6.3
2009/2/4,0,14,3.6,8.1
2009/2/5,0,14.3,2.6,8
2009/2/6,0,12.6,3.4,8
2009/2/7,0,13.5,1.5,7.3
2009/2/8,0,14.5,4.8,8.9
2009/2/9,2,13.3,2.5,6.8
2009/2/10,0,13.7,5,8.9
2009/2/11,0,13,6.7,9.7
2009/2/12,0,16.3,5.9,10.5
2009/2/13,0,21.5,9.2,16.9
2009/2/14,3,21,10.8,15.6
2009/2/15,0,17.3,7.9,12.1
2009/2/16,2,11.6,2.6,7.9
2009/2/17,0,7.9,1.6,3.7
2009/2/18,0,9.9,1,5.1
2009/2/19,15,9.9,1.9,5.5
2009/2/20,5,10.7,5.9,7.7
2009/2/21,0,9.7,1,5.3
2009/2/22,22,9.9,2.2,6.6
2009/2/23,3,15.2,8.1,10.6
2009/2/24,2.5,14,7.9,10.1
2009/2/25,13,15.4,9,11.3
2009/2/26,1,13.7,6,10.1
2009/2/27,19.5,9.4,7.2,7.8
2009/2/28,0,11.2,4.3,8.1
2009/3/1,0,15.2,5.1,9.7
2009/3/2,0,12.8,2.3,7.4
2009/3/3,15.5,7.1,4,5.5
2009/3/4,0,11.5,5.3,7.8
2009/3/5,0.5,13.7,3,8.7
2009/3/6,16.5,13.6,5.9,10
2009/3/7,0,13.2,4.9,8.4
2009/3/8,0,12.9,6.1,9.1
2009/3/9,2.5,11.1,5.6,8.3
2009/3/10,0,16,4.4,9.9
2009/3/11,0,13.2,4.6,8.7
2009/3/12,0,14.6,2.4,9.1
2009/3/13,30.5,17.2,9,13.4
2009/3/14,9.5,11.2,2.1,6.9
2009/3/15,0,11.6,1.6,6.7
2009/3/16,0,16.7,4.1,10.7
2009/3/17,0,20,7.5,13.7
2009/3/18,0,20.9,8.7,15.2
2009/3/19,0,22.9,11.6,16.9
2009/3/20,0,19.6,8.3,14.7
2009/3/21,0,18.2,5.1,12.3
2009/3/22,13.5,20.9,11.6,15.7
2009/3/23,0,17,10.1,12.8
2009/3/24,0,16.2,6.3,11.1
2009/3/25,0,13.5,3.8,9
2009/3/26,0,12.3,1.7,7.4
2009/3/27,0,14.3,6,10.8
2009/3/28,0,11,3.6,7.6
2009/3/29,0,14.4,5,9.3
2009/3/30,0,15,4.6,9.4
2009/3/31,0,16.1,5.7,9.9
2009/4/1,0.5,13,6.5,8.9
2009/4/2,0,15.2,4.2,9.5
2009/4/3,0,15.5,4.7,10.7
2009/4/4,12.5,13.7,11.2,12.2
2009/4/5,0,17.8,9.1,12.3
2009/4/6,0,19.3,7.1,13.1
2009/4/7,0,19.9,7.2,13.7
2009/4/8,0,22.5,10.3,16
2009/4/9,0,22.7,9.9,16.2
2009/4/10,0,23.8,10.1,17
2009/4/11,0,24,11.6,17.8
2009/4/12,0,24.1,12.6,18.3
2009/4/13,0,24.6,13.4,19.1
2009/4/14,8,18.8,12.5,15.8
2009/4/15,0,19.8,12.6,15.9
2009/4/16,0,21.6,13.1,16.8
2009/4/17,0,22.3,13.4,16.9
2009/4/18,0,23.8,11.4,17.5
2009/4/19,0,25.4,11.8,19
2009/4/20,6.5,24.2,15.8,19.9
2009/4/21,0,23.7,15.2,19.2
2009/4/22,0,20,13.3,16.3
2009/4/23,0,22.4,11.4,16.3
2009/4/24,0,20.4,10.7,15.8
2009/4/25,27,16.9,13,14.5
2009/4/26,0,16.1,8.7,12.2
2009/4/27,0,17.3,6.1,11.8
2009/4/28,0,18.6,7.2,12.9
2009/4/29,0,20.5,8,14.4
2009/4/30,0,22.6,10.1,16.6
2009/5/1,0,22.8,12.5,17.6
2009/5/2,0,22.3,13,17.7
