年月日,降水量の合計(mm),最高気温(℃),最低気温(℃),平均気温(℃)
2009/1/1,0,5.8,1.7,2.9
2009/1/2,0,10.5,-1.5,4
2009/1/3,0,12.4,-0.7,5
2009/1/4,0,12.1,-0.6,6.2
2009/1/5,0,13,4.5,8.3
2009/1/6,0,12.3,1.3,6.5
2009/1/7,0,11.9,4.1,7.3
2009/1/8,0,12,2.4,7
2009/1/9,0,10.8,4.1,7.3
2009/1/10,0,6.2,1.6,3.5
2009/1/11,0.5,8.2,0.2,4.6
2009/1/12,0,6.5,2.4,4.2
2009/1/13,0,5.8,1.2,3.1
2009/1/14,0.5,7.9,1.5,3.8
2009/1/15,0,7.4,-0.3,3
2009/1/16,0,11,-0.8,4.7
2009/1/17,0,13.5,0.7,6.5
2009/1/18,9.5,12,3.7,8.7
2009/1/19,0,12.2,4.6,8.7
2009/1/20,0,13.4,1.9,6.6
2009/1/21,2,9,4.1,6.9
2009/1/22,10.5,9.6,6.5,8
2009/1/23,0.5,8.5,0.2,5.4
2009/1/24,0,5,-2.6,1.2
2009/1/25,0.5,5.6,0.7,3.1
2009/1/26,0,8.8,3,5.5
2009/1/27,0,10.4,-0.2,5.2
2009/1/28,0,17.1,-1,6.9
2009/1/29,20.5,12.8,4.7,8.9
2009/1/30,8.5,14.6,9.7,12.1
2009/1/31,1.5,13.7,6,10.4
2009/2/1,0,13.6,2.6,7.7
2009/2/2,1.5,15.3,1,8.1
2009/2/3,29.5,10.5,8.3,9.4
2009/2/4,0,16.1,4.5,9.7
2009/2/5,0,16.3,3.7,9.9
2009/2/6,0,16,3.4,9.5
2009/2/7,0,15.3,2.1,8.6
2009/2/8,0,16,2.9,9.2
2009/2/9,0,11.9,2.4,7.5
2009/2/10,0,13.6,4.2,8.8
2009/2/11,0,15.7,3.9,9.1
2009/2/12,0,18.8,3.6,10.8
2009/2/13,10,19.9,6.6,15.1
2009/2/14,0,21.2,11.7,16.5
2009/2/15,0,19.9,6.9,12.8
2009/2/16,5,12.3,2.8,7.6
2009/2/17,0,9.3,1.2,4.5
2009/2/18,0,12.6,1.5,6.3
2009/2/19,20,8.3,1.7,5.6
2009/2/20,12,11.7,4.7,8.8
2009/2/21,0,11.8,0.1,5.7
2009/2/22,23,15,1,7.9
2009/2/23,5.5,18.1,11.2,13.9
2009/2/24,6,20.1,10.7,13.9
2009/2/25,11.5,17.2,10.6,14.1
2009/2/26,2,17.2,7.9,12.4
2009/2/27,7.5,12.9,9.5,10.9
2009/2/28,0,16,8.8,11.7
2009/3/1,0,16.6,7.3,11.4
2009/3/2,0,16.1,2.7,9.4
2009/3/3,8,9.6,6.8,8
2009/3/4,0,14.2,6.6,9.3
2009/3/5,2,14.4,5.6,11
2009/3/6,28,15.6,7,11.8
2009/3/7,0,13.9,4,9
2009/3/8,0,12.7,7.5,9.8
2009/3/9,4,12.8,6.3,8.8
2009/3/10,0,16.9,3,9.7
2009/3/11,0,16.2,6.1,10.4
2009/3/12,0,18.8,3.8,12.2
2009/3/13,53,15.6,9.6,13.4
2009/3/14,3.5,9.8,3.3,6.1
2009/3/15,0,13.6,0.3,7.3
2009/3/16,0,18.5,3.5,11.5
2009/3/17,0,22.4,8.4,15.3
2009/3/18,0,23.8,9.6,16.4
2009/3/19,0,21.5,13.8,17.7
2009/3/20,0,21.4,11.3,16.6
2009/3/21,2,24.1,7.2,15.8
2009/3/22,42,18.8,14.2,16.1
2009/3/23,0,19.6,9.5,14.4
2009/3/24,0,19.1,7.4,13.2
2009/3/25,0,13.4,5.2,9
2009/3/26,0,14.7,1.7,8.4
2009/3/27,0,15.2,4.6,10
2009/3/28,0,13,6.8,9.8
2009/3/29,2,16,6.7,10.6
2009/3/30,0,14.5,6.7,10.4
2009/3/31,0,18.9,8.6,12.4
2009/4/1,0,13.8,5.3,9.6
2009/4/2,0,16.6,2.3,9.6
2009/4/3,0,16.2,4.5,11
2009/4/4,22.5,14,11,12.7
2009/4/5,0,18.7,9.4,12.8
2009/4/6,0,21.3,6.2,13.4
2009/4/7,0,22.5,6.1,14.3
2009/4/8,0,24.6,8.8,16.8
2009/4/9,0,26.5,9.6,18.3
2009/4/10,0,25.5,10.2,18.4
2009/4/11,0,27.4,11.5,19.4
2009/4/12,0,27,13.4,19.5
2009/4/13,3,26.3,14.1,19.5
2009/4/14,14.5,19.7,13.6,16.5
2009/4/15,0,21.7,13.4,16.8
2009/4/16,0,23.9,12.1,17.7
2009/4/17,0,24.4,16,18.7
2009/4/18,0,26.1,13,19.4
2009/4/19,0,27.5,13.4,20.5
2009/4/20,5,24.3,16.8,19.4
2009/4/21,4.5,21.2,15.2,17.6
2009/4/22,0,22.4,10.8,16.7
2009/4/23,0,25.3,9.6,17.3
2009/4/24,1.5,24.2,12.2,18.3
2009/4/25,26.5,20.2,12,16
2009/4/26,0,15.7,9.5,12.9
2009/4/27,2.5,16,7.6,10.8
2009/4/28,0,20.9,5.7,13
2009/4/29,0,23.8,7.1,15.8
2009/4/30,0,24.6,9.4,17.1
2009/5/1,0,25.4,10.5,18.5
2009/5/2,0,24.8,11.7,18.8
2009/5/3,0,22.5,15.8,18.6
2009/5/4,20.5,20.6,14.8,16.3
2009/5/5,0.5,26.1,13.4,18.7
2009/5/6,0,27.5,13,20
2009/5/7,0,25.8,13.4,19.2
2009/5/8,0,28.2,13.3,20.6
2009/5/9,0,30.5,13.6,21.6
2009/5/10,0,29.9,13.6,21.7
2009/5/11,0,29.7,12.6,21.5
2009/5/12,0,28.4,14.9,22.1
2009/5/13,4.5,29.7,18.2,22.9
2009/5/14,0,29.3,13.6,21.3
2009/5/15,0,25.8,16.6,21.2
2009/5/16,0,27.1,18.9,22.4
2009/5/17,8,24.6,15.4,20.4
2009/5/18,0,25.6,13.3,19
2009/5/19,0,27.2,14.3,19.9
2009/5/20,0,30.9,13.9,22.2
