年月日,降水量の合計(mm),最高気温(℃),最低気温(℃),平均気温(℃)
2009/1/1,5.5,4.4,0.1,2.8
2009/1/2,15,4.3,0.6,2.6
2009/1/3,12,3.9,0.3,1.6
2009/1/4,0,6,2,4
2009/1/5,0,4.6,0.8,2.2
2009/1/6,0,3.6,-0.4,1.1
2009/1/7,0,4,0,1.3
2009/1/8,0,5.6,-1.7,1
2009/1/9,2,7.3,-3.2,2.4
2009/1/10,20,3.6,-2.5,1.3
2009/1/11,4.5,0.2,-4.8,-2.4
2009/1/12,11.5,3.2,-4.6,0
2009/1/13,10,1.3,-3.6,-0.7
2009/1/14,12.5,4.1,-2.8,0.7
2009/1/15,4.5,1.7,-4.1,-2.2
2009/1/16,3.5,3.5,-2.2,0.6
2009/1/17,5,3,-1.4,0.7
2009/1/18,0,5.3,-3.1,1.7
2009/1/19,8,7.4,1.3,4.9
2009/1/20,0,3.9,1.4,2.8
2009/1/21,0,3.9,0.7,2.6
2009/1/22,0,8.5,1.3,4.9
2009/1/23,4,11.1,-1.2,6.3
2009/1/24,3,-1,-4.4,-3.1
2009/1/25,20,2.2,-3.6,-0.3
2009/1/26,13,2.5,-0.3,0.9
2009/1/27,3.5,2.6,-1.5,0
2009/1/28,0,3.1,-5.5,-1.1
2009/1/29,0,6.6,-3.7,0.9
2009/1/30,8,4.9,-0.6,2.3
2009/1/31,16.5,3.2,-0.6,1.8
2009/2/1,0,2.3,-2.3,-0.3
2009/2/2,5,4,-1,1.5
2009/2/3,7,4.6,0.2,1.9
2009/2/4,0,2.1,-0.5,0.8
2009/2/5,5.5,6.7,-1,2.4
2009/2/6,1,3.7,0,1.8
2009/2/7,12.5,5.8,-0.9,1.3
2009/2/8,1,3.9,-0.6,1.5
2009/2/9,2.5,5.1,-2,2.7
2009/2/10,3.5,7.3,1.5,3.4
2009/2/11,3,7,-1.9,2.4
2009/2/12,1,7.7,0,3.9
2009/2/13,20.5,8.7,0.6,4.7
2009/2/14,18,12.2,4.5,6.7
2009/2/15,3.5,8.6,-2.5,1.9
2009/2/16,2.5,-1.1,-4.6,-2.9
2009/2/17,7,1.8,-4.2,-1.6
2009/2/18,3.5,1.3,-3.6,-1.6
2009/2/19,2.5,0.8,-4.2,-2.1
2009/2/20,13,6,-2.8,1.2
2009/2/21,0.5,1,-2.8,-0.8
2009/2/22,7.5,6.5,-3.6,1.9
