年月日,降水量の合計(mm),最高気温(℃),最低気温(℃),平均気温(℃)
2009/1/1,0,15.7,12.7,14.4
2009/1/2,0,16.5,12.8,15
2009/1/3,0,18.5,14.7,16.5
2009/1/4,0,20.6,13.3,17.3
2009/1/5,0,22.6,15.6,18.2
2009/1/6,0,21.5,16.6,18.6
2009/1/7,0,21.7,17,19.1
2009/1/8,3.5,20.2,16.7,18.6
2009/1/9,0,17.7,13.8,16
2009/1/10,0,14.2,11.2,12.6
2009/1/11,0,16.5,12.6,14.5
2009/1/12,0.5,16.3,12.7,14.3
2009/1/13,1,14.6,11,13
2009/1/14,0,16.3,12.2,14.1
2009/1/15,0,16.5,11.8,14.1
2009/1/16,0,18.7,9.9,14.3
2009/1/17,0,20.7,10.8,16.2
2009/1/18,0,22.5,13.2,18.4
2009/1/19,2.5,21.4,15.6,18.7
2009/1/20,0,22.7,17,19.6
2009/1/21,11.5,21.6,18.2,19.5
2009/1/22,0.5,24.5,17.6,20.4
2009/1/23,1.5,20.7,12.2,17.2
2009/1/24,0.5,13,11.3,12.1
2009/1/25,0,15,11.8,12.8
2009/1/26,0,17.9,9.3,14.3
2009/1/27,0,21.4,14,18.3
2009/1/28,0,23.5,18.8,20.6
2009/1/29,6,24.8,18.9,20.9
2009/1/30,5,24,18.3,20.3
2009/1/31,0,20.2,17.4,18.8
2009/2/1,0,21.1,15.8,17.8
2009/2/2,0,21.2,16.1,18.1
2009/2/3,0,23.5,15.4,19.3
2009/2/4,0,22.3,17.7,19.8
2009/2/5,0,22.9,15.9,19.4
2009/2/6,0,22.8,17.4,19.4
2009/2/7,0,22.4,16.4,18.7
2009/2/8,0,20.8,16.3,18.4
2009/2/9,0,22.4,16.6,19.4
2009/2/10,0,19.1,15.5,17.5
2009/2/11,0,20.2,14.2,17.3
2009/2/12,0,23.3,14.2,19.2
2009/2/13,0,25.2,20.1,22.5
2009/2/14,5,25.2,21.5,22.9
2009/2/15,0,23.2,20.3,21.5
2009/2/16,0,21,16.3,18.7
2009/2/17,0,19,14.8,16.2
2009/2/18,0,20.9,15.6,18
2009/2/19,0,24.1,17.9,21
2009/2/20,27.5,22.6,15.6,18.6
2009/2/21,0,20.2,14.2,16.8
2009/2/22,0,24.5,17.9,21.2
2009/2/23,0.5,25.9,22.1,23.3
2009/2/24,0,26.6,22.6,23.8
2009/2/25,0,26.2,22.4,23.6
2009/2/26,0,26.6,21.3,23.1
2009/2/27,3.5,26.1,20.6,22.4
2009/2/28,0.5,23.3,18.7,20.6
2009/3/1,1.5,21.8,17.9,19.6
2009/3/2,0,21.9,17.8,19.8
2009/3/3,9,21.9,17.7,20.4
2009/3/4,0,22.2,17,19.3
2009/3/5,32.5,23.7,19.5,22.1
2009/3/6,23,23.4,15.7,19.1
2009/3/7,18.5,17.7,14.2,15.7
2009/3/8,1.5,23.4,17.1,19.5
2009/3/9,41,22,16.9,19.1
2009/3/10,0,22,15.9,18.5
2009/3/11,0,21.8,15.6,19.3
2009/3/12,0,23.4,19,20.8
2009/3/13,5.5,24.3,17.6,21.7
2009/3/14,3,17.8,12.9,14.6
2009/3/15,0,19.4,12.7,15.5
2009/3/16,0,21.5,12.2,17
2009/3/17,0,22.5,13.7,18.6
2009/3/18,0,24.4,18.5,21.1
