年月日,降水量の合計(mm),最高気温(℃),最低気温(℃),平均気温(℃)
2009/1/1,0,2.9,-3.6,-1.2
2009/1/2,1,2.7,-3.1,-0.8
2009/1/3,0,4.2,-1.7,0.8
2009/1/4,0,6.1,-4.5,0.5
2009/1/5,0,5.4,-2.3,1.2
2009/1/6,0,5.1,-0.2,1.3
2009/1/7,0,5.8,-3.3,0.7
2009/1/8,0,6.4,-5.3,0
2009/1/9,0.5,4.4,-1.5,2.1
2009/1/10,2,2.3,-4,-0.7
2009/1/11,0,2.1,-4.7,-1.6
2009/1/12,0,4.9,-4.3,-0.1
2009/1/13,9.5,-0.3,-2.6,-1.6
2009/1/14,0.5,4.4,-4.9,-0.2
2009/1/15,0,0.5,-7.2,-3.3
2009/1/16,0,2.6,-8.9,-3.4
2009/1/17,0,4.1,-3.7,-0.7
2009/1/18,0.5,7.2,-6.5,0.5
2009/1/19,1,7.8,-0.9,3.1
2009/1/20,0,2.2,-3.5,-0.4
2009/1/21,4,6.5,-2.9,1.1
2009/1/22,0.5,7.2,0.6,4
2009/1/23,3.5,11.3,1.4,6
2009/1/24,2,2,-4.1,-0.7
2009/1/25,0,6.9,-4.9,-0.1
2009/1/26,0,7.4,-6,0.4
2009/1/27,0,6.4,-2.7,0.6
2009/1/28,0,9.6,-4.4,2.5
2009/1/29,0,11,-2.8,4
2009/1/30,2.5,12.1,3.4,7.4
2009/1/31,27.5,8.4,1.4,5.1
2009/2/1,1.5,3.6,-1.1,1
2009/2/2,0,5.5,-2.2,0.8
2009/2/3,0,4.6,-3.1,0.7
2009/2/4,0,7.6,-1.4,2
2009/2/5,0,9.1,-3.4,1.6
2009/2/6,0.5,3.3,0,1.2
2009/2/7,0,9.5,-2.9,2.4
2009/2/8,0.5,6.9,-1.7,1.9
2009/2/9,0,5.6,-4.8,0.8
2009/2/10,0,8,-2.7,2.2
2009/2/11,9,9.9,-2.6,2.3
2009/2/12,0,8.4,-0.4,3
2009/2/13,3,15.4,-0.9,7.6
2009/2/14,6.5,14.4,3.4,9
2009/2/15,0,14.9,1.1,6.8
2009/2/16,0,5.6,-4.1,1.1
2009/2/17,0,2.8,-6.2,-2.4
2009/2/18,0.5,4.2,-6.7,-1.3
2009/2/19,0,2.8,-4.2,-0.8
2009/2/20,12,7.8,-0.9,3.2
2009/2/21,0.5,2.6,-3.5,-1.1
2009/2/22,0,9.6,-6.1,1.7
2009/2/23,14,4.9,0.1,1.6
2009/2/24,0,6.6,-1.1,3
2009/2/25,4,6.4,-0.1,3.3
2009/2/26,0,6.8,0.6,2.8
2009/2/27,0.5,5.5,0.7,2.5
2009/2/28,0,9.6,-1.3,3.9
2009/3/1,0,12,1.4,4.6
2009/3/2,0.5,2.6,-3.6,-0.7
2009/3/3,0.5,5.5,-4.1,-0.3
2009/3/4,0,5.2,0.2,2.1
2009/3/5,0,10.4,-1.5,4.6
2009/3/6,13.5,8.3,5.3,6.4
2009/3/7,0,7.4,1,3.6
2009/3/8,0,9.9,-1.3,3.8
2009/3/9,0,11.9,-0.8,5.7
2009/3/10,0,11.7,-0.8,4.7
2009/3/11,0,8.1,-3,1.1
2009/3/12,0,5.7,-1.7,1.9
2009/3/13,1,11.8,0.2,6.3
2009/3/14,16,11.5,0,5.4
2009/3/15,0,10.3,-1.8,3.6
2009/3/16,0,13.6,-1.5,5.5
2009/3/17,14,13,1.2,6.4
2009/3/18,0,23.8,0.2,11
2009/3/19,0,23.3,3.8,13.2
2009/3/20,9.5,12.6,0,6.3
2009/3/21,0,14.9,-1.4,6.8
2009/3/22,14,19.5,5.8,12.5
2009/3/23,0,10.8,0.1,5
2009/3/24,0,14.8,-1.4,4.5
2009/3/25,1.5,8.9,0,3.3
2009/3/26,1,7.4,-2.5,1.1
2009/3/27,3.5,4.3,-1.5,0.6
2009/3/28,0,6,-1.5,1.4
2009/3/29,0,6.1,-1.4,1.6
2009/3/30,0,9.6,-0.2,3.5
2009/3/31,0,11.5,0.5,5.3
2009/4/1,12,12.8,0.8,3.8
2009/4/2,1,7.5,0.2,3.2
2009/4/3,0,14.4,-1.8,6.2
2009/4/4,2,13.8,1.7,7
2009/4/5,0,15.4,4.6,9.1
2009/4/6,0,17.4,0.8,8.3
2009/4/7,0,18.2,2,9.5
2009/4/8,0,19.8,3.3,11
2009/4/9,0,22.7,3,12.6
2009/4/10,0,25.3,5.5,15.1
2009/4/11,0,24.5,5.8,15
2009/4/12,0,24.7,10.1,16.4
2009/4/13,0,23.9,10.2,16.5
2009/4/14,20.5,14.8,11,13
2009/4/15,1,16.9,8.5,12
2009/4/16,0,13.9,7.8,9.9
2009/4/17,6,12.7,6.8,9
2009/4/18,0,23.2,6.5,14
2009/4/19,0,23.3,6.8,14.2
2009/4/20,0,24.9,9.8,16
2009/4/21,13.5,22.2,12.9,16
2009/4/22,4,19.2,9.4,13.9
2009/4/23,0,12.4,5.4,8.1
2009/4/24,0,16.1,4.5,10.4
2009/4/25,20.5,12.3,8.5,10.4
2009/4/26,1,16.5,5,10
2009/4/27,0,14,3.1,7.7
2009/4/28,0,15.3,1,8.1
2009/4/29,0,18.3,1.7,10.1
2009/4/30,0,22.1,2.8,12.2
2009/5/1,0,23.8,5.4,14.2
2009/5/2,0,26.5,7.5,15.4
2009/5/3,0,21.8,9.9,15.5
2009/5/4,0,22.4,12.1,16.5
2009/5/5,0,21.6,11.3,16.2
2009/5/6,16,14.9,11.9,13
2009/5/7,3.5,17,12.4,14.5
2009/5/8,0,21,11.1,15.4
2009/5/9,0,28.5,9.6,18.6
2009/5/10,0,29.9,14.2,20.6
2009/5/11,0,27.8,13.2,19.2
2009/5/12,0,22,14.3,16.9
2009/5/13,1,17.1,6,13.1
2009/5/14,0,19.4,4.4,11.2
2009/5/15,0,17.5,7.1,11.5
2009/5/16,0,18.6,8.9,13.6
2009/5/17,8,19.7,13.2,16.2
2009/5/18,0.5,24.3,13.4,18.4
2009/5/19,0,26.6,10.2,18.2
2009/5/20,0,28.7,10,19.2
2009/5/21,0,30.9,12.5,22
2009/5/22,0,26.9,16.7,21.5
2009/5/23,0,21.8,13.8,17.5
2009/5/24,3,19.1,12.4,14.6
2009/5/25,0,21.8,11.3,16
2009/5/26,0,27,8.7,18.4
2009/5/27,0,26.9,14.3,19.5
2009/5/28,0,19.5,14.6,17.4
2009/5/29,4.5,23,13.2,18.1
2009/5/30,4,25.5,16.3,19.4
2009/5/31,11,19,11.9,15.7
2009/6/1,0,21.3,11.2,15.4
2009/6/2,0,29,8.4,19.1
2009/6/3,0,24.1,16.7,20.2
2009/6/4,2,26.3,14.2,18.8
2009/6/5,0,20.6,15.6,18.4
2009/6/6,0,24.1,16.8,19.5
2009/6/7,0,24,14.1,18.8
2009/6/8,0,25.2,14.5,18.9
2009/6/9,0,26,14.8,20
2009/6/10,0.5,25,16.7,20.3
2009/6/11,5.5,24.6,14.2,18.6
2009/6/12,0,29.6,11.4,19.5
2009/6/13,0,25.3,13.9,18.7
2009/6/14,0,22.9,14.9,17.6
2009/6/15,0,24.8,14.6,18.1
2009/6/16,19.5,26.6,13.5,18
2009/6/17,0,23.2,14.5,18.2
2009/6/18,0,23.1,15.7,18.3
2009/6/19,0,29.5,14.2,21.6
2009/6/20,0,30.8,20,24.2
2009/6/21,7,28.1,19,22.7
2009/6/22,51.5,25.9,20.8,22.8
2009/6/23,2.5,29.4,18.8,23.1
2009/6/24,0,26.9,18.1,21.4
2009/6/25,0,30.3,15,22.3
2009/6/26,0,31.9,18,24.6
2009/6/27,0,32.4,17.6,24.6
2009/6/28,0,30.5,19.5,24.3
2009/6/29,1.5,30.1,19.1,23.6
2009/6/30,2.5,27.6,19.7,22.8
2009/7/1,8.5,21.8,17.4,19.9
2009/7/2,9,21.9,17.7,19.8
2009/7/3,1,28.2,17.3,21.2
2009/7/4,3,26.2,18.1,20.9
2009/7/5,10,29.6,18.4,22.1
2009/7/6,2,27,18.5,22.5
2009/7/7,1.5,30.7,20.4,24.6
2009/7/8,9,27.9,20.7,24.1
2009/7/9,17,24.1,20.8,22.4
2009/7/10,1.5,27.6,17.6,22
2009/7/11,0,27.1,16.6,21.6
2009/7/12,0,28.5,18.6,22.4
2009/7/13,0,31.1,19.7,24.3
2009/7/14,0,29.7,19.1,24.2
2009/7/15,0,35.5,22,28.2
2009/7/16,0,30.3,19.2,23.9
2009/7/17,27,28,18.9,22.4
2009/7/18,7.5,25.4,20.9,22.8
2009/7/19,0,30.9,20.6,24.3
2009/7/20,0,29.8,20.1,24.1
2009/7/21,4,24.3,20.9,22.3
2009/7/22,5.5,27,19.2,22.7
2009/7/23,0,30.1,21,24.7
2009/7/24,13.5,31.1,21.8,25.8
2009/7/25,4,32.4,21.6,25.1
2009/7/26,0,30.1,21.6,24.5
2009/7/27,6.5,26.4,21.6,23.6
2009/7/28,12,29.1,20.5,24.2
2009/7/29,14,30.5,19.7,24.3
2009/7/30,0,28.6,21.7,24.5
